Text,label 1,label 2,accident_predicted,ner_locations
"ফটিকছড়ি হারুয়ালছড়ি পাটিয়ালছড়ি চৌধুরী পাড়ার উত্তর ভ-য়া-বহ মোটরসাইকেল সড়ক দু-র্ঘ""ট-না-য় ১জন গু-রু-ত-র আহত!কারো পরিচিত হলে দ্রুত নাজিরহাট মেডিকেলে যোগাযোগ করুন। লোকটির সাথে কেউ না থাকায় স্থানীয় লোকেরা মেডিকেল নিয়ে গেছে।",1,road accident,1,"['ফটিক', 'ডি', 'হার', 'যা', 'পাটি']"
রোয়াংছড়িতে জনতার হাতে ৪ গরুচোর আটক,1,crime,1,"['রে', 'ায', 'াং', 'ডি']"
থানচি সীমান্তে সড়ক দূর্ঘটনায় চালক নিহত,1,road accident,1,['থানচি']
লামা লাইঝিরি সড়ক দুর্ঘটনা আহত ১ লামায় সড়ক দুর্ঘটনা ড্রাইভার গুরতর আহত।,1,road accident,1,"['লামা', 'লাই', 'ঝিরি']"
সাজেকে সড়ক দুর্ঘটনায় নি*হ*ত খুলনা বিশ্ববিদ্যালয়ের শিক্ষার্থী রুবিনা আফসানা রিংকির লা*শ হেলিকপ্টার যোগে গাইবান্ধা নিজ বাড়িতে পৌঁছে দিল বাংলাদেশ সেনাবাহিনী,1,road accident,1,['সাজেক']
"বান্দরবানে চাঁদের গাড়ী উল্টে এক নারী নিহত, আহত- ৬",1,road accident,1,"['বান', 'দর']"
বান্দরবানের লামা-সুয়ালক সড়কের ভয়াবহ অবস্থা। সড়ই ইউনিয়নের টংগঝিরি পয়েন্টে বৃষ্টির অজুহাতে বিশালাকৃতির খানাখন্দ সংস্কার করছে না কর্তৃপক্ষ। দীর্ঘদিন ধরে এই সড়ক ব্যবহারকারীরা পড়েছেন চরম ভোগান্তিতে। পথচারী ও গাড়ীর চালকরা অসহায়ত্ব প্রকাশ করে কর্তৃপক্ষের দৃষ্টি আকর্ষণ করেন,0,normal,0,"['বান', 'দর', 'বানের', 'লামা', 'যন', 'ের', 'টং', 'ঝিরি']"
"খরুলিয়ায় বেপরোয়া গতির যাত্রীবাহী মারসা গাড়ির সাথে গাছের ধাক্কা, সড়ক থেকে পড়ে গেল বিলে",1,road accident,1,[]
খাগড়াছড়িতে মগ লিবারেশন পার্টির সশস্ত্র শাখার প্রধান নিহত,1,crime,1,"['খাগ', 'ডা', 'ডি']"
পাহাড় ধ্বসে বিপর্যস্ত জনপদ বিচ্ছিন্ন যোগাযোগ। লামা পৌরসভার ৫ নং ওয়ার্ডে পাহাড় ধ্বসে আরসিসি সড়ক ব্লক। এর ফলে ছাত্রছাত্রীরাসহ গ্রামবাসীরা চরম দুর্ভোগে পড়েছে। দ্রুত মাটি অপসারণের দাবি।,1,natural disaster,1,['লামা']
দুর্ঘটনা বান্দরবানের লামা-আলীকদম সড়কের কুমারী এলাকার কবিরার দোকানের পূর্ব পার্শে রাত সাড়ে ৯টার সময় ২টি পিকাপ গাড়ীর মুখোমুখি সংঘর্ষ হয়েছ। ,1,road accident,1,"['বান', 'দর', 'বানের', 'লামা', 'আলীকদম']"
"সাজেক সড়কে পাহাড় ধস, আটকা পড়েছেন ৪ শতাধিক পর্যটক রাতভর ভারী বৃষ্টিপাতের কারণে দীঘিনালা-সাজেক সড়কে পাহাড় ধসের ঘটনা ঘটেছে। এতে সাজেকে আটকা পড়েছে ৪ শতাধিক পর্যটক। সে সাথে এ সড়কে পর্যটকবাহী গাড়িসহ সকল যানবাহন চলাচল সাময়িকভাবে বন্ধ রয়েছে। বুধবার দিবাগত রাতে সাজেক-দীঘিনালা সড়কের নন্দারাম এলাকায় এ পাহাড় ধসের ঘটনা ঘটে। সড়ক যোগাযোগ স্বাভাবিক রাখতে ইতোমধ্যে সড়কের মাটি সরাতে শুরু করেছে ফায়ার সার্ভিসের কর্মীরা।",1,natural disaster,1,"['সাজেক', 'দীঘিনালা']"
লামায় নিয়ন্ত্রন হারিয়ে ট্রাক চালক নিহত,1,road accident,1,['লামা']
মদ খেয়ে নদী পারাপারের সময় নিখোঁজের একদিন পর উসাচিং মার্মার (৫০) ভাসমান লাশ উদ্ধার.... বান্দরবানের লামা মাতামুহুরী নদী পার হতে গিয়ে দুর্ঘটনা। ,1,waterway,1,"['বান', 'দর', 'বানের', 'লামা']"
বান্দরবানে চাঁদাবাজীকে কেন্দ্র করে সেনাবাহিনীর সাথে জেএসএসের গো/লা-গুলি- জেএসএস এর এক স*ন্ত্রা/সী নি*হত,1,crime,1,"['বান', 'দর']"
আবারো সড়ক দু'র্ঘট'না এবার ট্রাক ও হায়েস। এটি চট্টগ্রামের চট্টগ্রাম খাগড়াছড়ি মহাসড়কের মনিয়া পুকুর পাড় এলাকায় হয়,1,road accident,1,"['খাগ', 'ডা', 'ডি', 'সড']"
সাজেক–বাঘাইহাটে ব্লাড ক্যাম্পেইন শেষ করে ফেরার পথে দীঘিনালা ৮ মাইল এলাকায় একটি ভয়াবহ মাহিন্দ্রা ও মোটরসাইকেল দুর্ঘটনা ঘটে।,1,road accident,1,"['সাজেক', 'দীঘিনালা']"
"মানিকছড়িতে সকাল সকাল ভয়াবহ সড়ক দুর্ঘটনা।। শান্তি এক্সপ্রেস ও সিএনজি সংঘর্ষ আহত ৭ জন,,, এই বড় গাড়ী গুলো যেমনে চালায়,, মনে হয় যেনো ঢাকা মাওয়া ভাঙ্গা মহাসড়কে চালায়,, এরা ছোট ছোট গাড়ীগুলোকে মূল্যায়নই করে না, আল্লাহ সবার সহায় হোন।",1,road accident,1,"['মানিক', 'ডি']"
"মাটিরাঙ্গায় কাভার্ড ভ্যান দুর্ঘটনায় চালক-হেলপার গুরুতর আহত, খাগড়াছড়ি জেলার মাটিরাঙ্গা উপজেলার বাইল্যাছড়ি যৌথ খামার এলাকায় ভয়াবহ সড়ক দুর্ঘটনা ঘটেছে। জনপ্রিয় ফোরস্টার ট্রান্সপোর্ট সার্ভিসের একটি কাভার্ড ভ্যান নিয়ন্ত্রণ হারিয়ে রাস্তার পাশের বড় একটি গাছের সাথে জোরে ধাক্কা খেলে ঘটনাস্থলেই চালক ও হেলপার গুরুতর আহত হন।",1,road accident,1,"['মাটির', 'গা', 'খাগ', 'ডা', 'ডি', 'উপজেলার', 'বাইল', 'যা']"
সাপমারা এলাকায় জীপগাড়ির সাথে শান্তি পরিবহনের মুখোমুখি সংঘর্ষ।,1,road accident,1,[]
চট্টগ্রাম খাগড়াছড়ি মহাসড়কের ফটিকছড়ি পাইন্দং আমতল এলাকায় ভ*য়াবহ মোটরসাইকেল সড়ক দু*র্ঘটনায় পুলিশসহ নি*হত ২জন।,1,road accident,1,"['চট', 'গরা', 'খাগ', 'ডা', 'ডি', 'মহা', 'সড', 'কে', 'ফটিক']"
"আজ সকালে খাগড়াছড়ি থেকে চট্রগ্রামের উদ্দেশ্যে ছেড়ে যাওয়া শান্তি এক্সপ্রেস এর একটি বাস জালিয়া পাড়া পার হয়ে হাতিমুড়া নামক এলাকায় পৌঁছালে, একটি মোটর সাইকেলের সাথে মুখোমুখি সংঘর্ষে'র ঘটনা ঘটে। এ ঘটনায় একজন নি'হ'ত হয়েছেন বলে খবর পাওয়া গেছে",1,road accident,1,"['আজ', 'সকালে', 'খাগ', 'ডা', 'ডি']"
আলুটিলা নামার সময় একটি শান্তির পরিবহন চাকা পাংচার হয়ে উল্টৈ যায়।,1,road accident,1,"['আল', 'টিলা']"
খাগড়াছড়ি--চট্টগ্রাম সড়কে মাটিরাঙ্গার সাপমারা এলাকায় শান্তি পরিবহনের এ গাড়িটি উল্টে যায়। এতে কমবেশি সবাই আহত হওয়ার খবর পাওয়া গেছে।,1,road accident,1,"['মাটির', 'গার']"
কিছুক্ষণ আগে সাজেক কিঃমিঃ নামক স্থানে বিজিবির গাড়ি নিয়ন্ত্রণ হারিয়ে ৩০ফিট নিচে চলে যায়।,1,road accident,1,['সাজেক']
খাগড়াছড়ি আলুটিলা - জিরোমাইল সড়কে নিয়ন্ত্রণ হারিয়ে পাথর বোঝায় ট্রাক উল্টে যায়! ভ য়া ব হ সড়ক দূর্ঘটনা তবে চালক ও হেলপার দুজনেই সুস্থ আছেন!,1,road accident,1,"['খাগ', 'ডা', 'ডি', 'আল', 'টিলা', 'জি', 'রে', 'ামা', 'ইল']"
আলুটিলায় আবারও দূ'র্ঘটনার কবলে শান্তি পরিবহনের গাড়ি। চালকের কৌশলে বড় দূ'র্ঘটনা থেকে রক্ষা। সকল যাত্রী সুস্থ এবং স্বাভাবিক আছেন।,1,road accident,1,"['আল', 'টিলা']"
মানিকছড়িতে শান্তি এক্সপ্রেস ও সিএনজির সং'ঘ'র্ষে ৭জন আহত।,1,road accident,1,"['মানিক', 'ডি']"
খাগড়াছড়ি থেকে চট্টগ্রামের উদ্দেশ্যে ছেড়ে যাওয়া শান্তি এক্সপ্রেস গাড়িটানা বাজারের একটু আগে সিএনজির সাথে মুখোমুখি সংঘর্ষ হয়,1,road accident,1,"['খাগ', 'ডা', 'ডি']"
খাগড়াছড়ি-দীঘিনালা সড়কে বাঁক ঘুরতে গিয়ে সড়কের বাইরে শান্তি পরিবহন। ৪ দিন আগে এ সড়ক আরও ৬ ফুট প্রশস্তকরণের কাজ শুরু হয়েছে। তবে ৪ দিনের মধ্যে ২ দিনই কাজ বন্ধ ছিল। এভাবে কাজ চললে নির্ধারিত সময়ের মধ্যে কাজ শেষ করা কখনোই সম্ভব হবেনা। দুর্ঘটনা রোধে সড়ক প্রশস্তকরণের এ কাজ দ্রুত শেষ করতে হবে।,1,road accident,1,['দীঘিনালা']
মানিকছড়ির গাড়ীটানায় বালুবাহী ট্রাক উল্টে চালক গুরুতর আহত। বুধবার দুপুরে যোগ্যাছোলা থেকে বালু নিয়ে চট্টগ্রাম যাওয়ার পথে গাড়ীটানা বাজারের পূর্বে পাহাড় উঠার সময় এই দূর্ঘটনা ঘটে।,1,road accident,1,"['বধ', 'বার', 'দপ', 'রে']"
খাগড়াছড়ি চেঙ্গী ব্রিজে ভ য়া বহ সড়ক দূর্ঘটনা!,1,road accident,1,"['খাগ', 'ডা', 'ডি']"
খাগড়াছড়ির আলুটিলায় মাইক্রোবাস ও মোটরসাইকেলের মুখোমুখি সংঘর্ষে আহত ২,1,road accident,1,"['খাগ', 'ডা', 'ডির', 'আল', 'টিলা']"
রাঙামাটির কুতুকছড়ি বাজারে বাঁশবাহী ট্রাক উল্টে দুর্ঘটনা,1,road accident,1,"['রাঙামাটির', 'কতক', 'ডি']"
মাটিরাঙ্গা বাইল্যাছড়ি যৌথ খামার এলাকায় খাগড়াছড়ি ফোরস্টার ট্রান্সপোর্ট সার্ভিসের কাভার্ড ভ্যান বেপরোয়া গতির কারণে গাছের সাথে ধাক্কা দেয়।,1,road accident,1,"['মাটির', 'গা', 'বাইল', 'যা', 'ডি', 'খামার', 'এলাকা', 'খাগ', 'ডা']"
মহালছড়িতে পানিতে ডুবে শিশুর মৃত্যু। খাগড়াছড়ির মহালছড়ি উপজেলায় পানিতে ডুবে মো. জুবায়ের হোসেন (৫) নামে এক শিশুর মর্মান্তিক মৃত্যু হয়েছে। সোমবার (৮ সেপ্টেম্বর ২০২৫) দুপুরে উপজেলার মাইসছড়ি ইউনিয়নের কালাপাহাড় এলাকায় এ ঘটনা ঘটে,1,waterway,1,"['মহাল', 'ডি', 'খাগ', 'ডা', 'ডির', 'দপ', 'রে', 'উপজেলার', 'মাইস']"
আবারো আলুটিলায় মর্মা'ন্তিক দূ'র'ঘ'ট'না আ'হ'ত হয়েছেন বেশ কয়েক জন।,1,road accident,1,"['আবার', 'আল', 'টিলা']"
মাটিরাঙ্গা আর্মি জোন সংলগ্ন এলাকায় শান্তি গাড়ি - মোটরসাইকেল সংঘর্ষে নি/হ/ত ১..।,1,road accident,1,"['মাটির', 'গা']"
খাগড়াছড়ি উচ্চ বিদ্যালয় মাঠের দক্ষিণ কন্যার বরাবর পুকুরপাড়ের রাস্তার মধ্যে একটি বড় গর্ত বেশ কিছুদিন ধরে আমাদের চোখে পড়তেছে,0,normal,0,"['খাগ', 'ডা', 'ডি']"
খাগড়াছড়ি দীঘিনালায়-সড়ক-দুর্ঘটনায়-১-জন-নিহত,1,road accident,1,"['খাগ', 'ডা', 'ডি', 'দীঘিনালা']"
"অদক্ষ চালক, ফিটনেস বিহীন গাড়ি বেপরোয়া গতির জন্যই সাজকে আসা যাওয়ার সময় দূর্ঘটনা ঘটার মূল কারণ",1,road accident,1,[]
"খাগড়াছড়ি রাঙ্গামাটি মহালছড়ি সড়কে রবিবার ( ১২ই নভেম্বর ) বিকাল ৫টায় গোগড়াছড়িতে ট্রাক এ'ক্সি'ডে'ন্ট দু'র্ঘ'ট'না' ঘটে,কারো হ'তা''হ''তে'র খবর পাওয়া যায়নি।",1,road accident,1,"['খাগ', 'ডা', 'ডি', 'রা', 'গামা', 'টি', 'মহাল', 'বিকাল', 'টা', 'গে', 'াগ']"
আজ মহালছড়ি পাকুজ্যাছড়ি জামতলা নামক স্থানে পানিতে ডুবে দুই ভাইবোনের মৃত্যু হয়েছে।,1,waterway,1,"['আজ', 'মহাল', 'ডি', 'পাক', 'যা']"
"চট্টগ্রাম থেকে খাগড়াছড়ি ছেড়ে আসা শান্তি এক্সপ্রেস বাস টি হাতিমুরা ক্যাম্পের নিচে নিয়ন্ত্রণ হারিয়ে গাছের সাথে ধা""ক্কা লেগে ২০ যাত্রী আ""হ""ত ৫ থেকে ৭ জন আ""শং""কা জনক",1,road accident,1,"['খাগ', 'ডা', 'ডি']"
হায়রে দুর্ঘটনা ডাক্তার রাজেন্দ্র স্যারের গাড়ির সাথে অটোরিকশার সংঘর্ষে ঘটনা স্থলে অটো ড্রাইভারের মৃত্যু,1,road accident,1,[]
মানিকছড়ির ভোলাইয়াপাড়ায় বসতবাড়িতে অগ্নিকাণ্ড ।,1,natural disaster,1,[]
"এইমাত্র গুইমারা উপজেলার বাইল্যাছড়ি (স্কুল পাড়া) এলাকায় একটি ভয়াবহ সড়ক দুর্ঘটনা ঘটেছে। ঘটনার বিবরণে জানা যায়, একটি মোটরসাইকেল এবং শান্তি পরিবহনের একটি বাসের মধ্যে সরাসরি সংঘর্ষ হয়।",1,road accident,1,"['ইম', 'ারা', 'উপজেলার', 'বাইল', 'যা', 'ডি']"
নারে ভাই আমি গেছিলাম একবার পানছড়ি রাস্তায় উগ্রপন্থি বর আইএস জঙ্গি  আছে একটুর জন্য বেঁচে গেছি😭😭😭,1,crime,0,"['গেছিল', 'াম', 'একবার', 'পান', 'ডি']"
মহালছড়ি বাজারে আগুন লাগছে,1,natural disaster,1,"['মহাল', 'ডি']"
ঢাকা থেকে ছেড়ে আসা শান্তি পরিবহন ১৪-৭২৯৬ গাড়িটি আজ ভোরবেলা আনুমানিক ৬টা নাগাদ জালিয়াপাড়ার আগে (নাম না জানা কোনো এক স্পটে) পাহাড় থেকে নিচে খাদে পড়ে যায়। হতাহতের চূড়ান্ত কোনো খবর না পাওয়ায় উল্লেখ করিনি।,1,road accident,1,[]
সাপমারা এলাকায় জীপগাড়ির সাথে শান্তি পরিবহনের মুখোমুখি সং'ঘ'র্ষ।,1,road accident,1,[]
দীঘিনালা-খাগড়াছড়ি সড়কের ভৈরফা এলাকায় সিমেন্ট বোঝাই ট্রাক উল্টে ড্রাইভার সহ অন্তত ৩ জন আহত হয়েছে।,1,road accident,1,"['দীঘিনালা', 'খাগ', 'ডা', 'ডি']"
সাজেক সড়কের হাউজ পাড়া এলাকায় পর্যটক বাহী জীপ (চান্দের গাড়ী) নিয়ন্ত্রণ হারিয়ে খাদে পড়ে বেশ কয়েকজন আহত!!,1,road accident,1,['সাজেক']
"আবারো নিয়ন্ত্রণ হারিয়ে ভয়াবহ দূর্ঘটনা বুদংপাড়াতে,, সকাল ৬ টার দিকে ঘটনাটি ঘটে।",1,road accident,1,[]
মহালছড়ি সিন্দুক ছড়ি সড়ক দুর্ঘটনা,1,road accident,1,"['মহাল', 'ডি']"
আজ বুধবার ( ২১ ফেব্রুয়ারি ) সকাল ১০:১৫ ঘটিকায় খাগড়াছড়ি জেলা মাটিরাংগা সাপমাড়া এলাকায় সাজেক পরিবহন ও ট্যুরিস্ট গাড়ি রকি পরিবহন মুখোমুখি সংঘর্ষে ঘটনাস্থলে ১ জন নিহত। এবং সাজেক পরিবহনের সবাই গুরুতর আহত হন।,1,road accident,1,"['খাগ', 'ডা', 'ডি', 'সাজেক']"
খাগড়াছড়ি টু বারাইয়ার হাট রোড তো রোড নয় এ যেন এক মরণ রোড একদিনেই তিনটি সড়ক দুর্ঘটনা ঘটে গেলো।,1,road accident,1,"['খাগ', 'ডা', 'ডি']"
রাঙামাটি সদরের ঘাগড়া বাঁকে সড়ক দুর্ঘটনা ঘটেছে।,1,road accident,1,['রাঙামাটি']
মর্মান্তিক এক্সিডেন্ট। চট্টগ্রাম করসিন কর্ণফুলীএলাকায়।,1,road accident,1,[]
কালকে রাত অনুমানিক ২.২০ মিনিটে খাগড়াছড়ি জয় নার্সারীর সামনে থেকে এ গাড়িটি চুরি হয়,1,crime,0,"['মিনিটে', 'খাগ', 'ডা', 'ডি']"
খাগড়াছড়ির আলুটিলা পর্যটন কেন্দ্র ‘তারেং’-এ বেড়াতে গিয়ে চাকমা সম্প্রদায়ের এক স্কুল শিক্ষিকাকে অস্ত্রের মুখে ধর্ষণ করা হয়। সেনাবাহিনীর সহযোগিতায় ধর্ষক মোটরসাইকেল চালক লিটন ত্রিপুরাকে আটক করেছে পুলিশ।,1,crime,1,"['খাগ', 'ডা', 'ডির', 'আল', 'টিলা']"
দীঘিনালা উপজেলার বোয়ালখালী নতুন বাজার ব্যবসায়ী Barua Ajit দাদার মিউজিক জোন মোবাইল দোকানটি সোমবার মধ্য রাতে চুরি হয়েছে। আশেপাশে কাউকে সন্দেহ হলে তথ্য দিয়ে সহযোগিতা করার জন্য অনুরোধ করছি।,1,crime,0,['দীঘিনালা']
আজ ভোর ৪.৩০টায় খাগড়াছড়ি সদরের নয়নপুরের হোসাইন ভাইয়ের বাসা থেকে নতুন এই বৈদ্যুতিক অটো রিক্সাটি চুরি হয়ে গেছে।,1,crime,1,"['খাগ', 'ডা', 'ডি', 'সদরের', 'নয', 'পরের']"
মহাজন পাড়া প্রাইমারি স্কুল এর অপজিট আব্দুল্লাহ মাকাম এর চতুর্থ তলার ৪০১ নং বাসায় চুরি হয় আমার একজন দিদির বাসায়।,1,crime,0,[]
"আসরের নামাজের আগ দিয়ে, শহর সমাজসেবা অফিস খাগড়াছড়ি সদর এর পাশে সুজুকি হায়াতি ১১০ সিসি বাইকটি চুরি হয়ে যায়, সবার সাহায্য কামনা করছি।",1,crime,0,"['শহর', 'সমাজসেবা', 'অফিস', 'খাগ', 'ডা', 'ডি']"
"নয়নপুর, রুখই চৌধুরী পাড়া এলাকায় গত বুধবার দুপুর ১২:৪০ থেকে ১২:৫৬ এর মধ্যে তৃতীয় তলায় চুরি করার চেষ্টা করেন, কিন্তু তাতে সম্ভব হয়নি বিদায় পাশের বাসায় ১ তলায় ভাড়াটিয়া না থাকায় তালা মারা অবস্থা দেখে সে অটোমেটি তালা খুলে বাসায় ঢুকে চুরি করে",1,crime,0,"['বধ', 'বার', 'দপ']"
খাগড়াছড়ি বায়তুশ শরফ মাদ্রাসার অফিস সহকারী ( কাম-কম্পিউটার অপারেটর) জনাব Asraful Islam  এর সাইকেলটি চুরি হয়েছে আজ  রাত ৮ থেকে ৮.৩০ এর মধ্যে ।,1,crime,1,"['খাগ', 'ডা', 'ডি']"
প্রাতকাল(২৮.১০.২২) এশারের পর খাগড়াছড়ি কলেজ গেইট খেজুর বাগান জামে মসজিদ থেকে ২টি দান boxথেকে টাকা ছুরি হয়েছে....,1,crime,1,"['এশার', 'ের', 'পর', 'খাগ', 'ডা', 'ডি']"
"আমাদের খাগড়াছড়ির বন্ধু ""রুমেন্টু চাকমা""র মোটরসাইকেল টি রাঙ্গামাটি হতে চুরি হয়ে যায়, গতকাল থানায় মামলা করা হয়, কোন সহৃদয়বান বন্ধু যদি পেয়ে থাক কিংবা খুঁজে দিতে পার,,, তাকে পুরস্কৃত করা হবে",1,crime,1,"['খাগ', 'ডা']"
"মোবাইল দোকান,মুদি দোকান সহ অসংখ্য চুরি করে ,তারপর গুলি করে সরাসরি খাগড়াছড়ি সন্ত্রাসী সংগঠন ইউপিডিএফ ,ও পাহাড়ি পরিষদ",1,crime,1,"['খাগ', 'ডা', 'ডি']"
জুড়াইছড়ি-রাঙামাটি নৌ-পথে বড় দুর্ঘটনা থেকে অল্পের জন্য রক্ষা। আজ ১: ৩০ দুর্ঘটনা হয়!,1,waterway,1,['রাঙামাটি']
লামায় যান্ত্রিক ত্রুটির কারনে মিনি ট্রাক খাদে,1,road accident,0,['লামা']
খাগড়াছড়ির আলুটিলা সড়কে নিয়ন্ত্রণ হারিয়ে প্রাইভেট কার উল্টে রাস্তার বাইরে।,1,road accident,1,"['খাগ', 'ডা', 'ডির', 'আল', 'টিলা']"
খাগড়াছড়ি দীঘিনালা সড়কে আবারও দুর্ঘটনা ঘটেছে। আজ খাগড়াছড়ি দীঘিনালা সড়কের জামতলী বাঙালি পাড়া এলাকায় শান্তি এক্সপ্রেস পরিবহনের একটি বাস দুর্ঘটনার কবলে পড়ে। প্রত্যক্ষদর্শীদের তোলা ছবিতে দেখা যায় বাসটি রাস্তার পাশের গর্তে বিপজ্জনকভাবে হেলে আছে।,1,road accident,1,"['খাগ', 'ডা', 'ডি', 'দীঘিনালা', 'আজ']"
খাগড়াছড়ির পানছড়িতে প্রতিপক্ষের গুলিতে ইউপিডিএফ গণতান্ত্রিকের সংগঠক নিহত,1,crime,1,"['খাগ', 'ডা', 'ডির', 'পান', 'ডি']"
আজ বড় বিপদ থেকে সবাই প্রাণে বেচে গেলাম ।জুরাছড়ি থেকে রাঙামাটি লঞ্চ। হঠাৎ গাছের ডাক্কা খেয়ে চিদ্র হয়ে পানি উঠতে শুরু হওয়াতে কোনরকমে রাস্তার মাথার নিচে এসে লঞ্চ থামিয়ে দ্রুত মানুষ আর মালামাল নামতে পারে। ভগবান সবাইকে রক্ষা করেছে,1,waterway,1,"['জরা', 'ডি', 'রাঙামাটি']"
"গুইমারায় নিয়ন্ত্রণ হারিয়ে সড়কের বাইরে বাস, হতাহতের খবর নেই।",1,road accident,1,"['ইম', 'ারা']"
খাগড়াছড়ি পার্বত্য জেলার গুইমারা উপজেলায় বুদংপাড়া এলাকায় নিয়ন্ত্রণ হারিয়ে একটি যাত্রীবাহী বাস দুর্ঘটনার কবলে পড়েছে। এতে বাসের ভেতরে থাকা অনেক যাত্রী আহত হয়েছেন৷ তবে কোনো হতাহতের ঘটনা ঘটেনি।,1,road accident,1,"['খাগ', 'ডা', 'ডি', 'ইম', 'ারা', 'উপজেলা', 'বদ', 'পা']"
গুইমারায় বজ্রপাতে এক ব্যক্তির মর্মান্তিক মৃ-ত্যু।,1,natural disaster,1,"['ইম', 'ারা']"
খাগড়াছড়ির দীঘিনালায় বজ্রপাতে বিকাশ চাকমা নামে এক ব্যক্তির মৃ/ত্যু।,1,natural disaster,1,['দীঘিনালা']
"আজ ভোর বেলায় দিঘীনালার বোয়ালখালি নতুন বাজারে এক ভয়াবহ অগ্নিকান্ড ঘটনা ঘটে,",1,natural disaster,1,[]
আলুটিলার সাপমারায় শান্তি পরিবহন ও লোকাল বাসের সংঘর্ষ!,1,road accident,1,"['আল', 'টিলা']"
দীঘিনালায় দুর্যোগে আটকে পড়াদের উদ্ধার করল সেনাবাহিনী।,1,natural disaster,1,['দীঘিনালা']
 বান্দরবানের লামা উপজেলাতে লাকড়ি বোঝাই একটি ট্রাক নিয়ন্ত্রণ হারিয়ে প্রায় ২০০ ফুট গভীর পাহাড়ি খাদে পড়ে চালকসহ দুইজন নিহত হয়েছেন।,1,road accident,1,"['বান', 'দর', 'বানের', 'লামা']"
"বান্দরবান ট্রাফিক মোড়ে বেপোরোয়া ভাবে গাড়ি চালাতে গিয়ে বড় দূর্ঘটনা! সাদা বোলারো টি উড়ে এসে পৌরসভার রাস্তার পিলার ওয়ালা লাইট ২টা, রিক্সা একটা সহ বড় ট্রাক কে ধাক্কা দেয়!",1,road accident,1,"['বান', 'দর']"
বান্দরবানে পাহাড়ের পাদদেশে পাওয়া গেল মা–মেয়ের মরদেহ |,1,crime,1,"['বান', 'দর']"
নাইক্ষ্যংছড়ি সীমান্তে চোরাকারবারীদের হামলায় বিজিবি'র ২ সদস্য আহত |,1,crime,1,"['নাই', 'কষ', 'ডি']"
"বান্দরবানে কিশোর গ্যাংয়ের হা'ম'লায় গুরুতর আহত যুবক, থানায় অভিযোগ।",1,crime,1,"['বান', 'দর']"
